"","Date","Team","Opp","BO","Pos","G","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB.","K.","BB.K","AVG.1","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC.","GB.FB","LD.","GB.","FB.","IFFB.","HR.FB","IFH.","BUH.","Pull.","Cent.","Oppo.","Soft.","Med.","Hard.","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","WPA","X.WPA","X.WPA.1","RE24","REW","pLI","phLI","PH","WPA.LI","Clutch","FB..1","FBv","SL.","SLv","CT.","CTv","CB.","CBv","CH.","CHv","SF.","SFv","KN.","KNv","XX.","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB.C","wSL.C","wCT.C","wCB.C","wCH.C","wSF.C","wKN.C","O.Swing.","Z.Swing.","Swing.","O.Contact.","Z.Contact.","Contact.","Zone.","F.Strike.","SwStr.","vFA","vFT","vFC","vFS","vFO","vSI","vSL","vCU","vKC","vEP","vCH","vSC","vKN","FA.X","FT.X","FC.X","FS.X","FO.X","SI.X","SL.X","CU.X","KC.X","EP.X","CH.X","SC.X","KN.X","FA.Z","FT.Z","FC.Z","FS.Z","FO.Z","SI.Z","SL.Z","CU.Z","KC.Z","EP.Z","CH.Z","SC.Z","KN.Z","O.Swing..1","Z.Swing..1","Swing..1","O.Contact..1","Z.Contact..1","Contact..1","Zone..1","Pace","Player"
"1",2015-07-20,"NYM","@WSN","3","3B",1,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0.4,0.6,0.2,0.1,0.2,0,0,-0.2,0.253,61,2,40,40,20,0,0,0,0,40,60,0,0,20,80,2,1,2,0,0,0,0,7,9,16,0.03,-0.05,0.09,-0.05,-0.01,0.71,0,0,-0.02,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6.3,92.9,0,0,0,0,0,84.3,78.3,0,0,86.8,0,0,5.5,0,0,0,0,0,0.1,-5.8,0,0,-9.4,0,0,7.9,0,0,0,0,0,0.7,-9.5,0,0,-3.6,0,0,12.5,100,56.3,0,100,88.9,50,20.5,"Daniel Murphy"
"2",2015-07-19,"NYM","@STL","2","3B",1,7,9,1,1,0,0,0,0,0,2,2,2,0,0,0,1,0,0,0.143,22.2,22.2,1,0.143,0.333,0.143,0.476,0,0.1,0.2,0,0,-1.3,0.126,-26,3,20,60,20,0,0,0,0,20,60,20,0,60,40,3,1,1,0,0,0,0,16,25,41,-0.24,-0.38,0.14,-1.07,-0.12,1.92,0,0,-0.1,-0.02,51.5,89.4,27.3,79.3,0,0,12.1,73.8,9.1,78.3,0,0,0,0,19.5,-0.8,-0.5,0,-0.2,0,0,0,-4.78,-5.11,0,-5.09,-1.63,0,0,42.9,57.9,51.5,83.3,90.9,88.2,57.6,55.6,4.9,89.7,95.4,0,0,0,81.2,79.4,73.7,0,0,78.6,0,0,2,-8.5,0,0,0,6,-2.4,-3.7,0,0,-1.3,0,0,10,6,0,0,0,-1.2,2,-6.4,0,0,6,0,0,38.5,60,51.5,80,91.7,88.2,60.6,18.3,"Daniel Murphy"
"3",2015-07-18,"NYM","@STL","2","3B",1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0.5,0,0.1,0.25,0,0,-0.3,0.221,39,0,25,0,75,33.3,0,0,0,25,50,25,25,25,50,0,3,1,1,0,0,0,2,6,8,0,-0.03,0.03,-0.24,-0.03,0.5,0,0,-0.04,0.04,87.5,90.7,0,0,0,0,12.5,77,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,-3.56,0,0,-4.81,0,0,0,33.3,80,62.5,100,100,100,62.5,75,0,91.1,90.5,0,0,0,0,0,77.1,0,0,0,0,0,-4.2,-6.3,0,0,0,0,0,2.1,0,0,0,0,0,7.8,7.1,0,0,0,0,0,-3.7,0,0,0,0,0,0,83.3,62.5,0,100,100,75,25.3,"Daniel Murphy"
"4",2015-07-17,"NYM","@STL","3","3B",1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,0,0,-1,-1,0,-100,1,33.3,33.3,33.3,0,0,0,0,66.7,0,33.3,33.3,66.7,0,1,1,1,0,0,0,0,7,12,19,-0.09,-0.09,0,-0.74,-0.08,0.88,0,0,-0.1,0,89.5,92.7,10.5,86.5,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-5.71,0.89,0,0,0,0,0,42.9,60,47.4,83.3,100,88.9,26.3,50,5.3,93.7,90.1,0,0,0,0,86.8,0,0,0,0,0,0,-6.7,-8.6,0,0,0,0,-0.1,0,0,0,0,0,0,8.1,3.8,0,0,0,0,2.4,0,0,0,0,0,0,30,66.7,47.4,66.7,100,88.9,47.4,22.6,"Daniel Murphy"
"5",2015-07-12,"NYM","ARI","2","3B",1,3,5,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0.333,40,0,2,0.333,0.6,1.333,1.933,1,0.1,0,0,2,1.5,0.696,366,2,0,66.7,33.3,0,100,0,0,66.7,33.3,0,33.3,33.3,33.3,2,1,0,0,0,0,0,14,7,21,0.13,-0.02,0.15,0.99,0.12,0.51,0,0,0.18,0.08,58.8,94.1,35.3,83,0,0,0,0,5.9,84,0,0,0,0,19.1,-0.4,0.3,0,0,1.3,0,0,-3.88,5.32,0,0,134.27,0,0,0,60,17.7,0,100,100,29.4,20,0,94.1,92.2,0,0,0,94.6,83.5,79.6,0,0,84.4,0,0,-4.2,-9.1,0,0,0,8.3,0.5,2.8,0,0,-5.6,0,0,7.9,4.4,0,0,0,7.7,-1.3,-1.9,0,0,2.3,0,0,0,37.5,17.7,0,100,100,47.1,20.9,"Daniel Murphy"
"6",2015-07-10,"NYM","ARI","3","3B",1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0.5,0,0.1,0.25,0,0,-0.3,0.221,39,0.5,25,25,50,0,0,0,0,0,50,50,25,50,25,1,2,1,0,0,0,0,8,8,16,-0.04,-0.04,0.01,-0.52,-0.06,0.53,0,0,-0.03,-0.04,50,91.4,25,80,0,0,6.3,76,18.8,81.3,0,0,0,0,0,-0.5,-0.2,0,0,0.4,0,0,-5.75,-5.89,0,3.53,13.98,0,0,27.3,40,31.3,100,100,100,31.3,25,0,91.5,90.8,0,0,0,90.9,80,76.3,0,0,81.3,0,0,-0.9,-8.6,0,0,0,11.4,-5.7,3.3,0,0,-9.8,0,0,8.7,6.9,0,0,0,6.1,1.6,-9.8,0,0,3.7,0,0,36.4,20,31.3,100,100,100,31.3,24.3,"Daniel Murphy"
"7",2015-07-08,"NYM","@SFG","3","3B",1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0.5,0,0.1,0.25,0,0,-0.3,0.221,39,2,25,50,25,0,0,50,0,0,50,50,25,25,50,2,1,1,0,1,0,0,0,6,6,0.15,-0.05,0.2,0.66,0.08,0.91,0,0,0.04,0.13,66.7,91.5,0,0,16.7,91,0,0,16.7,82,0,0,0,0,0,0.2,0,-0.2,0,-0.2,0,0,4.09,0,-16.4,0,-24.04,0,0,75,50,66.7,100,100,100,33.3,100,0,92.3,90.1,0,0,0,0,0,0,0,0,82.2,0,0,-0.6,-9.4,0,0,0,0,0,0,0,0,-8.8,0,0,5.4,5.9,0,0,0,0,0,0,0,0,3.5,0,0,100,50,66.7,100,100,100,66.7,15,"Daniel Murphy"
"8",2015-07-07,"NYM","@SFG","3","3B",1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0.1,0,0,-1,-1,0,-100,3,0,100,0,0,0,0,0,33.3,33.3,33.3,33.3,66.7,0,3,0,0,0,0,0,0,4,10,14,-0.13,-0.13,0,-1.29,-0.15,1.39,0,0,-0.1,0,28.6,91.8,7.1,86,0,0,21.4,76.3,42.9,85.7,0,0,0,0,0,-0.4,-0.2,0,0.1,-0.6,0,0,-8.97,-16.54,0,3.09,-9.23,0,0,54.6,33.3,50,100,100,100,21.4,75,0,93.9,89.8,0,0,0,0,85.7,76.5,0,0,85.6,0,0,-1.8,-8.4,0,0,0,0,1,6.1,0,0,-7.8,0,0,7.9,4.9,0,0,0,0,-0.9,-6.4,0,0,1.6,0,0,44.4,60,50,100,100,100,35.7,26.2,"Daniel Murphy"
"9",2015-07-06,"NYM","@SFG","3","3B",1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,-1,-1,0,-100,4,0,100,0,0,0,0,0,75,0,25,25,50,25,4,0,0,0,0,0,0,7,9,16,-0.12,-0.12,0,-0.83,-0.09,1.69,0,0,-0.09,0.01,68.8,88,0,0,6.3,79,12.5,75,12.5,82,0,0,0,0,0,-0.5,0,0,-0.2,-0.2,0,0,-4.44,0,-3.66,-10.27,-10.03,0,0,33.3,100,50,100,100,100,25,25,0,89.1,85.7,0,0,0,89.4,78.5,74.8,0,0,82.2,0,0,-4.1,10.1,0,0,0,-9.3,-2.5,6.8,0,0,-9.4,0,0,5.7,-1.2,0,0,0,0.7,1.2,-8.2,0,0,0.1,0,0,36.4,80,50,100,100,100,31.3,23.5,"Daniel Murphy"
"10",2015-07-05,"NYM","@LAD","2","3B",1,4,6,3,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.75,16.7,0,1,0.75,0.833,0.75,1.583,0,0.1,0.75,0,2,1.7,0.673,350,1,75,25,0,0,0,0,0,50,50,0,0,75,25,1,0,3,0,0,0,0,8,8,16,0.15,0,0.15,2.12,0.24,0.64,0,0,0.17,0.07,41.7,87.4,8.3,80,8.3,89,33.3,79.8,8.3,84,0,0,0,0,25,0.8,0,-0.3,0.9,0,0,0,15.88,-4.81,-29.19,23.56,-4.81,0,0,55.6,100,66.7,100,100,100,25,33.3,0,89,0,88.2,0,0,85.4,79.7,79.7,0,0,84.2,0,0,1.9,0,1.3,0,0,8.1,5.8,2.5,0,0,-1.6,0,0,9.8,0,4.9,0,0,0.1,-3.6,-8.3,0,0,5.1,0,0,50,100,66.7,100,100,100,33.3,21.1,"Daniel Murphy"
