"","Date","Team","Opp","BO","Pos","G","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB.","K.","BB.K","AVG.1","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC.","GB.FB","LD.","GB.","FB.","IFFB.","HR.FB","IFH.","BUH.","Pull.","Cent.","Oppo.","Soft.","Med.","Hard.","GB","FB","LD","IFFB","IFH","BU","BUH","Balls","Strikes","Pitches","WPA","X.WPA","X.WPA.1","RE24","REW","pLI","phLI","PH","WPA.LI","Clutch","FB..1","FBv","SL.","SLv","CT.","CTv","CB.","CBv","CH.","CHv","SF.","SFv","KN.","KNv","XX.","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB.C","wSL.C","wCT.C","wCB.C","wCH.C","wSF.C","wKN.C","O.Swing.","Z.Swing.","Swing.","O.Contact.","Z.Contact.","Contact.","Zone.","F.Strike.","SwStr.","vFA","vFT","vFC","vFS","vFO","vSI","vSL","vCU","vKC","vEP","vCH","vSC","vKN","FA.X","FT.X","FC.X","FS.X","FO.X","SI.X","SL.X","CU.X","KC.X","EP.X","CH.X","SC.X","KN.X","FA.Z","FT.Z","FC.Z","FS.Z","FO.Z","SI.Z","SL.Z","CU.Z","KC.Z","EP.Z","CH.Z","SC.Z","KN.Z","O.Swing..1","Z.Swing..1","Swing..1","O.Contact..1","Z.Contact..1","Contact..1","Zone..1","Pace","Player"
"1",2015-05-10,"NYM","@PHI","3","3B",1,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.6,0.6,0.6,1.2,0,0.1,0.6,0,1,0.9,0.53,251,2,40,40,20,0,0,0,0,40,20,40,0,40,60,2,1,2,0,0,0,0,4,11,15,0.01,-0.03,0.03,0.26,0.03,0.48,0,0,0.04,-0.03,66.7,92,0,0,6.7,88,6.7,77,20,84.7,0,0,0,0,0,0.4,0,0,0,0.4,0,0,3.97,0,3.53,0,14.95,0,0,16.7,77.8,53.3,100,100,100,60,60,0,93.3,91.7,87.7,0,0,89.9,76.7,0,0,0,84.7,0,0,2.6,-8.7,2.4,0,0,-11.2,5.9,0,0,0,-11.3,0,0,10.9,6.6,4,0,0,7.4,-9,0,0,0,4.3,0,0,50,55.6,53.3,100,100,100,60,15.7,"Daniel Murphy"
"2",2015-05-02,"NYM","WSN","5","3B",1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0.5,0,0.1,0.25,0,0,-0.3,0.221,39,2,25,50,25,100,0,0,0,50,25,25,50,50,0,2,1,1,1,0,0,0,5,16,21,-0.1,-0.14,0.03,-0.56,-0.07,1.57,0,0,-0.03,-0.03,71.4,93.6,4.8,82,0,0,19.1,78.8,4.8,85,0,0,0,0,0,-0.5,0,0,-0.2,0.5,0,0,-3.4,-3.66,0,-4.44,50.71,0,0,53.9,75,61.9,100,100,100,38.1,75,0,93.5,93.1,0,0,0,0,81.8,78.9,0,0,84.7,0,0,7.1,11,0,0,0,0,12.1,-4.1,0,0,11.8,0,0,9,7,0,0,0,0,-3.7,-8.8,0,0,2.5,0,0,58.3,66.7,61.9,100,100,100,42.9,23.8,"Daniel Murphy"
"3",2014-08-09,"NYM","@PHI","2","2B",1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4,-1,-1.2,0,-100,3,20,60,20,0,0,0,0,0,20,80,0,80,20,3,1,1,0,0,0,0,5,16,21,-0.23,-0.25,0.02,-1.5,-0.17,1.73,0,0,-0.13,-0.01,42.9,95,4.8,87,33.3,89.9,9.5,79.5,9.5,84.5,0,0,0,0,0,-0.8,0,-0.5,0,0,0,0,-9.07,2.26,-7.05,2.41,1.92,0,0,57.1,57.1,57.1,87.5,100,91.7,33.3,100,4.8,93.3,97.9,89.9,0,0,0,87.1,79.3,0,0,84.8,0,0,5.3,7,-0.5,0,0,0,-2.6,-3.7,0,0,7.1,0,0,11.7,8.1,7.2,0,0,0,1.1,-5,0,0,8.2,0,0,44.4,66.7,57.1,75,100,91.7,57.1,21,"Daniel Murphy"
"4",2014-06-27,"NYM","@PIT","3","2B",1,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.4,0,20,0,0.4,0.4,0.6,1,0.2,5,0.5,-0.4,1,0.5,0.435,186,1,75,25,0,0,0,0,0,50,50,0,0,50,50,1,0,3,0,0,0,0,8,11,19,0,-0.16,0.16,0.43,0.05,1.57,0,0,0,0.01,79,93.5,5.3,84,5.3,91,0,0,10.5,85.5,0,0,0,0,0,0.5,0,0,0,-0.1,0,0,3.59,3.5,3.5,0,-5.49,0,0,20,87.5,50,100,85.7,88.9,44.4,20,5.3,95.2,0,0,0,0,92.3,83.9,0,0,0,85.6,0,0,5.2,0,0,0,0,-8.4,8.3,0,0,0,-8.6,0,0,9.2,0,0,0,0,3.3,0.7,0,0,0,4.3,0,0,12.5,72.7,47.4,100,87.5,88.9,57.9,23.5,"Daniel Murphy"
"5",2014-05-17,"NYM","@WSN","2","2B",1,4,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,20,0,1,0.5,0.6,0.5,1.1,0,1.6,0.5,0,1,0.7,0.494,227,1,50,25,25,0,0,0,0,0,100,0,0,100,0,1,1,2,0,0,0,0,10,6,16,0.04,0,0.05,0.55,0.06,0.26,0,0,0.07,0.09,62.5,91.9,0,0,12.5,87,25,77.5,0,0,0,0,0,0,0,0.6,0,0,0.2,0,0,0,5.91,0,-0.6,4.51,0,0,0,16.7,75,31.3,100,100,100,25,40,0,92.6,91.5,0,0,0,89.9,86.1,75.7,79.8,0,0,0,0,8.4,-2.6,0,0,0,5.8,0.2,-7.5,4.7,0,0,0,0,10,6.3,0,0,0,7.7,5.2,-7.5,-5.2,0,0,0,0,9.1,80,31.3,100,100,100,31.3,16.3,"Daniel Murphy"
"6",2014-05-09,"NYM","PHI","2","2B",1,4,6,1,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0.25,33.3,16.7,2,0.25,0.5,0.25,0.75,0,2.6,0.333,0,1,0.3,0.378,147,3,0,100,0,0,0,0,0,100,0,0,33.3,33.3,33.3,3,0,0,0,0,0,0,15,9,24,-0.03,-0.1,0.07,-0.03,0,1.3,0,0,0.02,-0.04,70.8,92.9,16.7,83,4.2,91,0,0,8.3,82.5,0,0,0,0,0,0.1,0.2,0,0,0.1,0,0,0.46,4.82,3.5,0,4.56,0,0,12.5,75,33.3,0,83.3,62.5,33.3,16.7,12.5,92.7,95.6,0,0,0,91,83.1,0,0,0,82.6,0,0,6.8,10.3,0,0,0,-8.3,2.5,0,0,0,-8.5,0,0,9,5.8,0,0,0,5,0.9,0,0,0,1.7,0,0,16.7,83.3,33.3,33.3,80,62.5,25,23.4,"Daniel Murphy"
"7",2013-08-09,"NYM","@ARI","3","2B",1,4,4,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.5,0,25,0,0.5,0.5,0.5,1,0,2.6,0.667,0,1,0.4,0.444,193,2,0,66.7,33.3,0,0,0,0,33.3,33.3,33.3,33.3,66.7,0,2,1,0,0,0,0,0,3,12,15,0.09,-0.04,0.13,0.42,0.05,1.08,0,0,0.04,0.04,73.3,92.5,26.7,81.5,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,2.58,3.78,0,0,0,0,0,62.5,57.1,60,60,100,77.8,46.7,50,13.3,92.7,92.6,0,0,0,0,81.5,0,0,0,0,0,0,2.5,9.9,0,0,0,0,0,0,0,0,0,0,0,10.1,8.1,0,0,0,0,-0.9,0,0,0,0,0,0,66.7,50,60,66.7,100,77.8,40,21.2,"Daniel Murphy"
"8",2013-06-30,"NYM","WSN","2","2B",1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25,0,25,0,0.25,0.25,0.25,0.5,0,5,0.333,0.2,0,-0.3,0.222,39,1,66.7,33.3,0,0,0,0,0,0,66.7,33.3,0,100,0,1,0,2,0,0,0,0,3,16,19,0.03,-0.01,0.04,0.1,0.01,0.43,0,0,0.01,0.07,84.2,93,0,0,0,0,15.8,78.3,0,0,0,0,0,0,0,-0.7,0,0,0.4,0,0,0,-4.54,0,0,14.36,0,0,0,57.1,58.3,57.9,100,100,100,63.2,75,0,93.3,92.5,0,0,0,0,0,78.1,0,0,0,0,0,7.8,9.6,0,0,0,0,0,-5.3,0,0,0,0,0,10.4,9.1,0,0,0,0,0,-7.6,0,0,0,0,0,42.9,66.7,57.9,100,100,100,63.2,22.7,"Daniel Murphy"
"9",2013-06-28,"NYM","WSN","2","2B",1,5,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.2,0,20,0,0.2,0.2,0.2,0.4,0,2.6,0.25,0,0,-0.5,0.178,8,3,0,75,25,0,0,0,0,50,0,50,25,50,25,3,1,0,0,0,0,0,10,16,26,-0.09,-0.11,0.02,-0.27,-0.03,0.87,0,0,-0.04,-0.07,84.6,92.6,0,0,0,0,11.5,80.7,3.9,86,0,0,0,0,0,-0.3,0,0,0,-0.1,0,0,-1.48,0,0,-0.8,-11.43,0,0,30.8,58.3,44,50,85.7,72.7,48,40,11.5,93.2,92.2,0,0,0,92.4,80.4,0,0,0,86.3,0,0,4.1,-8.8,0,0,0,8.6,-2.1,0,0,0,-9.3,0,0,9.2,8.5,0,0,0,6.8,-3,0,0,0,0.3,0,0,23.1,61.5,42.3,66.7,75,72.7,50,21.1,"Daniel Murphy"
"10",2013-06-01,"NYM","@MIA","2","2B",1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,-1,-1,0,-100,3,25,75,0,0,0,0,0,25,50,25,50,50,0,3,0,1,0,0,0,0,4,9,13,-0.05,-0.05,0,-0.77,-0.09,0.69,0,0,-0.09,0.02,30.8,92.8,30.8,82,0,0,38.5,80,0,0,0,0,0,0,0,-0.6,-0.1,0,-0.2,0,0,0,-14.04,-3.64,0,-3.02,0,0,0,50,60,53.9,75,100,85.7,38.5,50,7.7,93.4,92.6,0,0,0,0,82,80.1,0,0,0,0,0,8,-9.7,0,0,0,0,-1,9.6,0,0,0,0,0,10.9,4.6,0,0,0,0,-1.5,-3.9,0,0,0,0,0,50,57.1,53.9,66.7,100,85.7,53.9,24.1,"Daniel Murphy"
"11",2012-09-26,"NYM","PIT","2","2B",1,4,4,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0.5,0,50,0,0.5,0.5,0.5,1,0,2.6,1,0,1,0.4,0.442,186,1,50,50,0,0,0,0,0,0,100,0,0,100,0,1,0,1,0,0,0,0,5,10,15,0.07,-0.03,0.11,0.36,0.04,0.76,0,0,0.06,0.04,73.3,92.5,0,0,0,0,13.3,73,13.3,81,0,0,0,0,0,0.6,0,0,0,-0.2,0,0,5.47,0,0,-1.01,-10.4,0,0,33.3,55.6,46.7,50,80,71.4,60,50,13.3,92.6,0,0,0,0,90.4,0,72.8,0,0,80.8,0,0,7.5,0,0,0,0,-9.1,0,8.1,0,0,-9.3,0,0,9.2,0,0,0,0,4,0,-7.4,0,0,1.4,0,0,57.1,37.5,46.7,75,66.7,71.4,53.3,20.5,"Daniel Murphy"
"12",2012-09-23,"NYM","MIA","2","2B",1,4,4,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25,0,25,0,0.25,0.25,0.5,0.75,0.25,2.6,0.333,0,0,0,0.314,100,0.5,0,33.3,66.7,0,0,0,0,0,66.7,33.3,0,66.7,33.3,1,2,0,0,0,0,0,8,13,21,-0.07,-0.11,0.04,-0.44,-0.05,1.22,0,0,-0.01,-0.05,57.1,91.7,9.5,85,0,0,19.1,75.3,0,0,14.3,83.3,0,0,0,0.3,0.1,0,-0.2,0,-0.2,0,2.75,6.5,0,-6.23,0,-6.36,0,33.3,55.6,42.9,100,80,88.9,42.9,100,4.8,93.5,90.8,0,0,0,0,84.9,75,0,0,83,0,0,4.7,-10.1,0,0,0,0,-1.3,4.1,0,0,-11.8,0,0,11.1,3.9,0,0,0,0,-0.9,-8.8,0,0,2.5,0,0,25,53.9,42.9,100,85.7,88.9,61.9,22.8,"Daniel Murphy"
"13",2012-08-19,"NYM","@WSN","9","PH",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0.1,0,0,0,-0.3,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,-0.02,-0.02,0,-0.3,-0.03,0.69,0.69,1,-0.03,0,100,93,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,-8.32,0,0,0,0,0,0,0,33.3,33.3,0,100,100,100,100,0,93.2,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,33.3,0,100,100,100,38,"Daniel Murphy"
"14",2012-06-07,"NYM","@WSN","5","2B",1,5,5,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.4,0,0,0,0.4,0.4,0.4,0.8,0,5,0.4,0.2,1,0.2,0.353,127,3,20,60,20,0,0,33.3,0,20,80,0,40,20,40,3,1,1,0,1,0,0,3,7,10,-0.16,-0.22,0.06,-1.49,-0.16,1.08,0,0,-0.04,-0.11,60,90.3,10,80,0,0,10,80,20,83,0,0,0,0,0,1,-0.2,0,-0.8,-0.3,0,0,16.66,-24.76,0,-77.47,-16.22,0,0,40,80,60,100,100,100,50,60,0,92.8,90.5,0,83.1,0,89.5,80.2,79.5,0,0,0,0,0,4.2,12.5,0,-10.4,0,-7.9,0,5.8,0,0,0,0,0,11,7.8,0,6.3,0,3.2,1.8,-9.5,0,0,0,0,0,50,66.7,60,100,100,100,60,21.2,"Daniel Murphy"
"15",2012-05-17,"NYM","CIN","5","2B",1,4,5,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.5,20,0,1,0.5,0.6,0.75,1.35,0.25,1.6,0.5,0,1,0.9,0.535,249,0,25,0,75,0,0,0,0,50,50,0,0,50,50,0,3,1,0,0,0,0,9,10,19,0.23,-0.04,0.27,1.63,0.18,1.67,0,0,0.13,0.01,60,94.4,26.7,85,0,0,13.3,77,0,0,0,0,0,0,21.1,0.7,0.7,0,0,0,0,0,7.28,17.81,0,1.14,0,0,0,28.6,71.4,50,50,100,85.7,50,40,5.3,97,90.1,0,0,0,0,85,76.9,0,0,88.3,0,0,4.1,-6,0,0,0,0,0.6,3.5,0,0,-4.9,0,0,12.3,9.4,0,0,0,0,3.6,-3.7,0,0,10.7,0,0,37.5,57.1,46.7,66.7,100,85.7,46.7,19.9,"Daniel Murphy"
"16",2012-05-12,"NYM","@MIA","5","2B",1,4,5,3,3,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0.75,20,0,1,0.75,0.8,0.75,1.55,0,6.8,0.75,0.2,2,1.4,0.668,339,2,50,50,0,0,0,50,0,0,25,75,0,50,50,2,0,2,0,1,0,0,8,10,18,0.09,-0.01,0.1,2.63,0.28,0.54,0,0,0.16,0,66.7,91.3,16.7,83.5,0,0,11.1,74,0,0,5.6,82,0,0,0,0.8,0.5,0,0.1,0,0.1,0,6.91,16.35,0,3.52,0,6.07,0,30,62.5,44.4,100,100,100,44.4,60,0,93.8,88.4,0,0,0,96.1,81.4,74.1,0,0,81.9,0,0,3.8,-9,0,0,0,-11.1,3,6.9,0,0,-5.6,0,0,11.1,3.3,0,0,0,2.1,-0.8,-6.7,0,0,2.8,0,0,12.5,70,44.4,100,100,100,55.6,23.3,"Daniel Murphy"
"17",2011-07-17,"NYM","PHI","4","2B-3B",1,3,5,2,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0.667,40,0,2,0.667,0.8,1,1.8,0.333,2.6,0.667,0,2,1.6,0.71,370,0,0,0,100,0,0,0,0,66.7,33.3,0,0,66.7,33.3,0,3,0,0,0,0,0,13,11,24,0.04,-0.02,0.06,1.14,0.12,0.66,0,0,0.13,-0.07,70.8,92.9,8.3,82,12.5,87.3,0,0,8.3,82.5,0,0,0,0,0,1.1,0.1,0.6,0,-0.2,0,0,6.59,4.42,19.62,0,-11.42,0,0,11.8,83.3,30.4,100,80,85.7,26.1,20,4.2,93.8,0,87.4,0,0,89.3,82,0,0,0,82.2,0,0,7.6,0,0.4,0,0,-9.6,-4.8,0,0,0,-9.1,0,0,9.6,0,4.8,0,0,3.9,-2,0,0,0,3.7,0,0,0,53.9,29.2,0,85.7,85.7,54.2,21.6,"Daniel Murphy"
"18",2011-07-07,"NYM","@LAD","6","3B",1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0.5,0.5,0.5,1,0,0.1,0.5,0,1,0.4,0.445,189,1,50,25,25,0,0,0,0,50,50,0,25,75,0,1,1,2,0,0,0,0,3,9,12,-0.1,-0.11,0,-0.56,-0.06,0.74,0,0,0.04,-0.18,58.3,93.7,33.3,83.3,0,0,8.3,73,0,0,0,0,0,0,0,-1,0.4,0,0.5,0,0,0,-13.93,8.8,0,49.39,0,0,0,33.3,50,41.7,50,100,80,50,75,8.3,93.7,0,92.8,0,0,0,83.2,73.4,0,0,0,0,0,2.3,0,0.9,0,0,0,-3.8,-2.5,0,0,0,0,0,10,0,7.2,0,0,0,-0.8,-9.1,0,0,0,0,0,42.9,40,41.7,66.7,100,80,41.7,17.3,"Daniel Murphy"
